,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
140,Dover,South East,274000,512,26640,8050,3,10,0.03169544952399847,0.28118891617005715
141,Dudley North,West Midlands,185000,552,28709,8000,6,16,-0.7018631900762511,0.04082145072919549
142,Dudley South,West Midlands,195000,514,26728,8500,6,14,-0.9586698403629834,0.646702185684772
143,Dulwich and West Norwood,London,607500,526,27347,15700,3,5,2.1563575348560455,2.221774202139615
144,Ealing Central and Acton,London,645000,634,32973,9255,2,5,3.524507644845219,0.15310551071377737
145,Ealing North,London,475000,540,28101,11800,3,6,1.619216401336461,1.2461548002348837
146,"Ealing, Southall",London,501913,608,31637,12383,3,6,2.6254537959921325,0.7691179226717993
147,Easington,North East,91000,471,24513,2200,3,27,-2.949008616199142,-2.025497396033601
148,East Devon,South West,316000,561,29151,6010,2,9,0.9381795486025017,-0.546361556339341
149,East Ham,London,420000,587,30508,4700,1,7,1.8849053357166066,-0.8808684320770254
150,East Hampshire,South East,400000,516,26842,6001,2,7,0.8205236466175013,0.16578586517303734
151,East Surrey,South East,455000,519,26993,13000,3,6,1.332134961902691,1.5691572661675703
152,East Worthing and Shoreham,South East,365000,466,24227,11225,4,7,0.025161951821895037,1.825501591831495
153,East Yorkshire,Yorkshire and The Humber,194720,474,24648,4944,3,13,-1.1547764317593983,-0.2175835431285045
154,Eastbourne,South East,277000,463,24076,7225,3,9,-0.5475885877125585,0.6971578385089268
155,Eastleigh,South East,300000,530,27544,2010,1,9,0.42569726681680536,-1.128322983916288
156,Eddisbury,North West,265000,497,25823,6001,3,10,-0.29595802076134353,0.11601403778592541
157,Edmonton,London,405000,529,27513,8250,2,7,1.1127229157809566,0.3737993088630541
158,Ellesmere Port and Neston,North West,195000,554,28824,5800,3,15,-0.24948915455044407,-0.9898882643894997
159,Elmet and Rothwell,Yorkshire and The Humber,246500,459,23873,5000,2,10,-0.7640074010987277,0.009728515816641433
160,Eltham,London,450000,574,29848,8000,2,7,1.8398395639834035,0.01316998006638133
161,Enfield North,London,430000,618,32141,9000,2,7,2.3945443962781967,-0.26876789496737996
162,"Enfield, Southgate",London,606000,595,30961,16200,3,5,3.078982438408983,1.676531430950976
163,Epping Forest,East of England,500000,550,28590,10010,2,6,1.8803983375501179,0.6793135251151979
164,Epsom and Ewell,South East,560000,486,25277,12000,2,5,1.434729757665595,1.7105124708924986
165,Erewash,East Midlands,183000,638,33181,7610,5,18,0.34777563987063326,-1.2318241454200116
166,Erith and Thamesmead,London,355000,460,23925,8500,3,7,-0.07982131883535333,1.2098672121330734
167,Esher and Walton,South East,675000,536,27862,19000,3,4,2.761481767140998,2.7951330867741677
168,Exeter,South West,265000,470,24430,5010,2,9,-0.4680362233331399,0.036328109900228084
169,Fareham,South East,315000,505,26234,6000,2,8,0.29386202158409,0.03821268317798524
170,Faversham and Mid Kent,South East,349995,505,26255,6200,2,8,0.4241967691197176,0.12048613975283116
171,Feltham and Heston,London,415000,532,27648,17600,5,7,1.2208807553565897,2.4849875221843467
172,Filton and Bradley Stoke,South West,320000,671,34876,10000,4,11,2.125169978142898,-0.5975156073384565
173,Finchley and Golders Green,London,750000,556,28928,29000,5,4,3.482398370766629,4.676334105201107
174,Folkestone and Hythe,South East,300500,471,24487,10100,4,8,-0.27190543351712987,1.4289014844495525
175,Forest of Dean,South West,265000,408,21195,10000,5,8,-1.3556578087352056,2.187513814507999
176,Fylde,North West,207750,539,28028,2550,1,13,-0.10605729542671023,-1.648078878072751
177,Gainsborough,East Midlands,205000,461,23967,6800,4,12,-1.2460508984524432,0.536253151969566
178,Garston and Halewood,North West,189975,515,26754,2196,1,14,-0.5906902567312307,-1.6031149376097142
179,Gateshead,North East,130000,502,26109,0,0,20,-1.4758696501585187,-2.7143668687331837
180,Gedling,East Midlands,208000,557,28964,8302,5,14,-0.2281365523590158,-0.011316676096273088
181,Gillingham and Rainham,South East,279000,437,22708,7600,3,8,-0.7733079171302886,1.0758671837493905
182,Gloucester,South West,222000,488,25355,7200,4,11,-0.7279706681711441,0.4735089044982016
183,Gosport,South East,244250,477,24809,5350,2,10,-0.5200856074662584,-0.1041956202078995
184,Grantham and Stamford,East Midlands,225000,518,26910,5000,3,12,-0.3873819131377082,-0.4567471151701104
185,Gravesham,South East,336500,491,25506,9300,3,8,0.20500968671260628,0.9288392963465067
186,Great Grimsby,Yorkshire and The Humber,128000,483,25100,3600,3,20,-1.9670300910645153,-1.2320963352644663
187,Great Yarmouth,East of England,205000,559,29042,6800,4,14,-0.15178448880656237,-0.5123767454977634
188,Greenwich and Woolwich,London,470000,529,27518,4000,1,6,1.3581190592709058,-0.2960256869092293
189,Guildford,South East,492000,668,34752,5400,1,7,3.222759981809118,-1.3870404383976156
190,Hackney North and Stoke Newington,London,600000,556,28912,12360,2,5,2.500141589858114,1.2059810240732627
191,Hackney South and Shoreditch,London,590000,761,39582,6000,1,7,4.795643534856427,-1.9684874692357766
192,Halesowen and Rowley Regis,West Midlands,206000,478,24877,7200,4,12,-0.9985770929712686,0.44116862314282407
193,Halifax,Yorkshire and The Humber,138750,468,24310,3750,3,18,-1.9381870270318502,-0.8770731673443569
194,Haltemprice and Howden,Yorkshire and The Humber,224500,529,27503,6100,3,12,-0.19087791396219878,-0.4027946763631738
195,Halton,North West,150000,520,27035,3500,3,18,-1.2304657204060936,-1.355943740113244
196,Hammersmith,London,675000,753,39140,-10000,-1,6,4.579955665641254,-4.447181366961496
197,Hampstead and Kilburn,London,875000,823,42791,25150,3,5,7.383997561217854,1.3443044295570572
198,Harborough,East Midlands,265500,450,23400,7300,3,9,-0.7526259196101269,0.8042549918284064
199,Harlow,East of England,315000,480,24960,5600,2,8,-0.04814760604717351,0.20126648486406454
200,Harrogate and Knaresborough,Yorkshire and The Humber,275000,522,27149,1600,1,10,0.12879019068276248,-1.2483520104142853
201,Harrow East,London,565000,506,26307,11000,2,5,1.6642501347378886,1.4025100235099377
202,Harrow West,London,500000,498,25912,9000,2,5,1.248346276190108,1.0875684405951773
203,Hartlepool,North East,126000,500,26005,400,0,21,-1.5878654628915319,-2.738738073885868
204,Harwich and North Essex,East of England,290000,540,28090,4000,1,10,0.528444007126152,-1.0482846144566031
205,Hastings and Rye,South East,290000,441,22948,12000,5,8,-0.7412563754739461,2.21219597449772
206,Havant,South East,290000,495,25761,6300,2,9,0.0076388032205256945,0.03299045539847823
207,Hayes and Harlington,London,410000,601,31257,8300,2,8,1.9807034756381812,-0.33992539137565086
208,Hazel Grove,North West,260000,381,19822,8650,4,8,-1.6503345599813724,1.9562790402726085
209,Hemel Hempstead,East of England,377000,482,25064,4550,1,7,0.36371841915923475,-0.04299385451994779
210,Hemsworth,Yorkshire and The Humber,159500,493,25615,4300,3,16,-1.332566407858039,-0.8052991713823922
211,Hendon,London,525000,514,26738,10000,2,5,1.5881832341610953,1.1264506942901706
212,Henley,South East,486000,619,32172,4200,1,7,2.5020861072369343,-1.1282060169745647
213,Hereford and South Herefordshire,West Midlands,237500,460,23941,7700,4,10,-0.9209980872803246,0.9041022785964129
214,Hertford and Stortford,East of England,399995,390,20275,4999,1,5,-0.5565716869986426,1.0544164975391335
215,Hertsmere,East of England,535000,478,24851,16000,4,5,1.1643053415873819,2.8429524169479032
216,Hexham,North East,235000,415,21559,1200,1,9,-1.3341896106974434,-0.3277566469621007
217,Heywood and Middleton,North West,175000,465,24170,8500,6,14,-1.6672185306112899,1.0490954608142127
218,High Peak,East Midlands,219745,463,24086,6949,4,11,-1.0699359031661775,0.6533669390756225
219,Hitchin and Harpenden,East of England,510000,632,32848,13300,3,6,3.004770497239612,0.7011315443889278
220,Holborn and St Pancras,London,700000,765,39785,-8000,-1,6,4.918187027028252,-4.235311873745923
221,Hornchurch and Upminster,London,440000,486,25256,12000,3,6,0.800759862393955,1.6990286116939128
222,Hornsey and Wood Green,London,632000,569,29583,8400,1,5,2.72492608815934,0.31804007739323176
223,Horsham,South East,400000,575,29921,6000,2,7,1.592120782516218,-0.35737260934489545
224,Houghton and Sunderland South,North East,137000,474,24638,-600,0,18,-1.6654649008336568,-2.3548095399521123
225,Hove,South East,378174,470,24419,6640,2,6,0.2637712209951929,0.7214961783742169
226,Huddersfield,Yorkshire and The Humber,149975,390,20290,3995,3,14,-2.537444535168369,0.22879348903468213
227,Huntingdon,East of England,285000,527,27383,1000,0,10,0.3308353229116578,-1.6289452390250614
228,Hyndburn,North West,123000,463,24081,3610,3,20,-2.2419237383363906,-1.0635198575959115
229,Ilford North,London,490000,467,24274,12490,3,5,0.8368196141133777,2.1069353316362585
230,Ilford South,London,445500,446,23176,10300,3,5,0.3081069370170991,1.9156001147095834
231,Ipswich,East of England,220000,579,30087,7000,4,14,0.17008196434555892,-0.6377628120176911
232,Isle of Wight,South East,247000,424,22048,9400,5,9,-1.324556303303538,1.839751331737718
233,Islington North,London,620000,640,33296,16000,3,5,3.703706755592226,1.273216514074808
234,Islington South and Finsbury,London,710000,768,39915,9600,1,6,5.549911335263427,-1.2402676762593756
235,Jarrow,North East,135500,432,22469,-500,0,17,-2.12099211203359,-1.8812344438841926
236,Keighley,Yorkshire and The Humber,179000,499,25938,4350,3,14,-1.0020806975149887,-0.6378550453727634
237,Kenilworth and Southam,West Midlands,345000,439,22818,2001,1,7,-0.4274281768870646,-0.06950171326839452
238,Kensington,London,1400000,607,31554,0,0,2,5.827240164986037,0.04211338823657316
239,Kettering,East Midlands,228500,425,22079,5700,3,10,-1.3734947493805425,0.6525310914456349
240,Kingston and Surbiton,London,489250,594,30904,5850,1,6,2.3598850609513,-0.5820677231428725
241,Kingston upon Hull East,Yorkshire and The Humber,125000,431,22412,3100,3,18,-2.4951303267621445,-0.6648407974928027
242,Kingston upon Hull North,Yorkshire and The Humber,132000,518,26931,2200,2,20,-1.4267369246440018,-2.0028299911860605
243,Kingston upon Hull West and Hessle,Yorkshire and The Humber,130000,440,22875,2000,2,18,-2.2787367451633926,-1.1605735493613332
244,Kingswood,South West,292000,445,23124,8900,4,8,-0.6981188345899915,1.4784189971318407
245,Knowsley,North West,159950,503,26161,6490,5,16,-1.3629564464003545,-0.04761492578687978
246,Lancaster and Fleetwood,North West,160000,445,23124,2300,2,14,-1.73426207954798,-0.7473810686300898
247,Leeds Central,Yorkshire and The Humber,145000,487,25319,5000,4,17,-1.6506648179789984,-0.49984318596722555
248,Leeds East,Yorkshire and The Humber,187750,433,22506,6050,4,12,-1.705937450328135,0.6518853480633059
249,Leeds North East,Yorkshire and The Humber,284000,477,24794,10000,4,9,-0.3459389355819123,1.2441880467830593
250,Leeds North West,Yorkshire and The Humber,260000,450,23390,6800,3,9,-0.7960797207499651,0.726347109062794
251,Leeds West,Yorkshire and The Humber,170050,499,25964,6910,5,15,-1.2685732627990123,0.15339825859191872
252,Leicester East,East Midlands,240000,480,24955,12000,7,10,-0.8553642968876212,2.1468266007847143
253,Leicester South,East Midlands,215750,493,25626,10150,6,12,-0.9035276219357894,1.2806777896081052
254,Leicester West,East Midlands,195000,434,22578,10600,7,12,-1.8547227134905482,2.1014088039675474
255,Leigh,North West,165000,436,22682,5651,4,14,-1.9424981512581856,0.3481343509467779
256,Lewes,South East,375000,513,26671,8350,3,7,0.6713540813353294,0.7527967625951577
257,Lewisham East,London,440000,630,32739,8001,2,7,2.534556761928662,-0.49646538229472076
258,Lewisham West and Penge,London,435000,467,24305,5000,1,6,0.47902651751943054,0.3354663169630767
259,"Lewisham, Deptford",London,465825,663,34471,7165,2,7,3.0151759149855306,-0.8653995343255854
260,Leyton and Wanstead,London,525000,578,30040,13000,3,6,2.3363028734554994,1.1610419834253933
261,Lichfield,West Midlands,262500,543,28231,5300,2,11,0.3083588720476221,-0.7567310480835249
262,Lincoln,East Midlands,181500,472,24534,6300,4,14,-1.3886115518101192,0.14850756876522186
263,"Liverpool, Riverside",North West,170000,556,28886,8500,7,17,-0.9064431984848403,0.23300853837486038
264,"Liverpool, Walton",North West,115000,507,26338,5600,6,23,-2.2819414072142514,-0.6475559561438659
265,"Liverpool, Wavertree",North West,160000,457,23785,4000,3,15,-1.718504677742847,-0.43986482968805696
266,"Liverpool, West Derby",North West,140000,464,24138,3000,2,17,-1.791249272444593,-1.1266934010715262
267,Loughborough,East Midlands,226000,508,26432,7200,4,12,-0.5399623166109792,0.20817988212235525
268,Louth and Horncastle,East Midlands,200000,484,25173,6500,4,13,-1.066846162309654,0.1902847950363286
269,Ludlow,West Midlands,255000,481,25012,6000,3,10,-0.5360456511389275,0.23964339024853323
270,Luton North,East of England,290000,505,26239,6450,3,9,0.005427005841323528,0.2397120447477223
271,Luton South,East of England,276000,503,26177,10200,5,9,-0.15477392423949857,1.2972908077324405
272,Macclesfield,North West,260000,536,27851,4000,2,11,0.14512105589253663,-0.8792898668764015
273,Maidenhead,South East,520000,613,31897,14000,3,6,2.828214076185024,0.9800599953209311
274,Maidstone and The Weald,South East,326000,541,28111,7200,2,9,0.7670641330227187,-0.18689067178105687
275,Makerfield,North West,160000,426,22136,6000,5,14,-2.211305462099204,0.7502968364092512
276,Maldon,East of England,370000,531,27607,7000,2,7,0.9602750490522663,0.12600081253477305
277,Manchester Central,North West,215000,613,31886,8000,5,15,0.42234889839816503,-0.6303461869229784
278,"Manchester, Gorton",North West,185000,553,28746,7575,5,16,-0.5761853752126835,-0.29685747334632423
279,"Manchester, Withington",North West,290000,454,23587,6000,2,8,-0.45581010225471374,0.4490145609938816
280,Mansfield,East Midlands,161550,536,27877,5710,4,17,-0.9202434796375311,-0.8084441965506659
281,Meon Valley,South East,355000,517,26905,8000,3,8,0.5514677549095841,0.5425622694795674
282,Meriden,West Midlands,299973,387,20103,5645,2,7,-1.2223221185232187,1.0998242851410451
283,Mid Bedfordshire,East of England,350000,472,24534,4800,1,7,0.1524795218494433,0.038048077478064934
