ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Selby and Ainsty,Yorkshire and The Humber,235000,452,23494,4450,2.091656874,9.997446809
Sevenoaks,South East,450000,516,26832,8400,2.058823529,5.962666667
Sheffield Central,Yorkshire and The Humber,185000,518,26941,8000,5.517241379,14.5627027
Sheffield South East,Yorkshire and The Humber,155275,505,26250,4655,3.526515152,16.90549026
"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,138000,504,26182,4050,3.439490446,18.97246377
"Sheffield, Hallam",Yorkshire and The Humber,308250,489,25438,4650,1.631578947,8.252392539
"Sheffield, Heeley",Yorkshire and The Humber,183000,426,22131,6600,4.4,12.09344262
Sherwood,East Midlands,195000,469,24404,5001,2.941783753,12.51487179
Shipley,Yorkshire and The Humber,195000,454,23613,4000,2.285714286,12.10923077
Shrewsbury and Atcham,West Midlands,235000,581,30196,5000,2.380952381,12.8493617
Sittingbourne and Sheppey,South East,275000,469,24404,7400,3.109243697,8.874181818
Skipton and Ripon,Yorkshire and The Humber,250000,465,24196,6000,2.727272727,9.6784
Sleaford and North Hykeham,East Midlands,230000,420,21830,7500,3.896103896,9.491304348
Slough,South East,340000,720,37440,4000,1.25,11.01176471
Solihull,West Midlands,295000,478,24835,5800,2.180451128,8.418644068
Somerton and Frome,South West,307300,487,25345,8060,3.018726592,8.247640742
South Basildon and East Thurrock,East of England,320000,483,25132,9000,3.272727273,7.85375
South Cambridgeshire,East of England,400000,476,24731,5000,1.333333333,6.18275
South Derbyshire,East Midlands,225000,479,24913,5000,2.5,11.07244444
South Dorset,South West,250000,499,25964,4000,1.739130435,10.3856
South East Cambridgeshire,East of England,335000,620,32235,2800,0.872274143,9.62238806
South East Cornwall,South West,245000,452,23494,9800,5,9.589387755
South Holland and The Deepings,East Midlands,225000,517,26894,8201,4.457186337,11.95288889
South Leicestershire,East Midlands,259975,496,25808,8005,3.639463514,9.927108376
South Norfolk,East of England,280000,580,30134,6000,2.4,10.76214286
South Northamptonshire,East Midlands,315000,575,29879,5401,1.875379781,9.485396825
South Ribble,North West,195000,458,23795,4200,2.413793103,12.2025641
South Shields,North East,137250,433,22495,2650,2.137096774,16.38979964
South Staffordshire,West Midlands,249995,750,38984,7999,3.809047619,15.59391188
South Suffolk,East of England,310000,476,24736,6900,2.504537205,7.979354839
South Swindon,South West,231000,594,30872,2201,1.000477284,13.36450216
South Thanet,South East,290000,462,24008,11000,4.680851064,8.27862069
South West Bedfordshire,East of England,310000,453,23561,6200,2.222222222,7.600322581
South West Devon,South West,265000,464,24144,8000,3.555555556,9.110943396
South West Hertfordshire,East of England,555000,534,27747,11000,2.2,4.999459459
South West Norfolk,East of England,245500,652,33883,7400,3.549160671,13.80162933
South West Surrey,South East,500000,524,27264,9000,1.978021978,5.4528
South West Wiltshire,South West,265000,427,22183,7400,3.245614035,8.370943396
"Southampton, Itchen",South East,245000,542,28205,6000,2.790697674,11.5122449
"Southampton, Test",South East,230000,606,31507,5000,2.43902439,13.69869565
Southend West,East of England,350000,478,24851,10600,3.569023569,7.100285714
Southport,North West,190000,402,20894,4400,2.619047619,10.99684211
Spelthorne,South East,418000,581,30207,6600,1.714285714,7.226555024
St Albans,East of England,565125,392,20394,12325,2.447864945,3.608759124
St Austell and Newquay,South West,256000,486,25272,10500,5.15970516,9.871875
St Helens North,North West,160000,502,26099,5000,3.703703704,16.311875
St Helens South and Whiston,North West,151500,479,24903,5300,4.24,16.43762376
St Ives,South West,300000,427,22220,12200,5.10460251,7.406666667
Stafford,West Midlands,215000,403,20946,5000,2.631578947,9.742325581
Staffordshire Moorlands,West Midlands,190000,529,27503,5000,3.03030303,14.47526316
Stalybridge and Hyde,North West,180000,404,21003,7801,5.532820313,11.66833333
Stevenage,East of England,320000,546,28382,8000,2.857142857,8.869375
Stockport,North West,225465,510,26520,11093,6.525294118,11.76235779
Stockton North,North East,127500,527,27420,700,0.564516129,21.50588235
Stockton South,North East,165000,453,23546,490,0.301445709,14.27030303
Stoke-on-Trent Central,West Midlands,125000,384,19958,3800,3.58490566,15.9664
Stoke-on-Trent North,West Midlands,134975,524,27258,4995,4.540909091,20.1948509
Stoke-on-Trent South,West Midlands,149750,435,22641,4950,3.96,15.11919866
Stone,West Midlands,235000,416,21616,4600,2.169811321,9.198297872
Stourbridge,West Midlands,209250,475,24705,7250,4.190751445,11.80645161
Stratford-on-Avon,West Midlands,338500,485,25241,5300,1.698717949,7.456720827
Streatham,London,535000,473,24591,7000,1.4,4.596448598
Stretford and Urmston,North West,274000,534,27789,14200,6.995073892,10.1419708
Stroud,South West,300000,468,24326,7000,2.641509434,8.108666667
Suffolk Coastal,East of England,300000,607,31548,5365,1.963942528,10.516
Sunderland Central,North East,135000,437,22714,2000,1.6,16.82518519
Surrey Heath,South East,420000,586,30482,5250,1.333333333,7.257619048
Sutton and Cheam,London,440000,628,32640,10000,2.564102564,7.418181818
Sutton Coldfield,West Midlands,327500,516,26832,10500,3.818181818,8.192977099
Tamworth,West Midlands,226300,480,24981,6260,3.21025641,11.03888643
Tatton,North West,340000,545,28356,5000,1.587301587,8.34
Taunton Deane,South West,250000,463,24055,6000,2.727272727,9.622
Telford,West Midlands,180000,442,22994,6001,4.000800027,12.77444444
Tewkesbury,South West,276000,570,29630,2200,0.830188679,10.73550725
The Cotswolds,South West,390000,497,25844,8750,2.527075812,6.626666667
The Wrekin,West Midlands,225500,557,28985,7101,3.737466775,12.85365854
Thirsk and Malton,Yorkshire and The Humber,240000,450,23410,6900,3.357664234,9.754166667
Thornbury and Yate,South West,315000,538,27960,4400,1.501706485,8.876190476
Thurrock,East of England,314500,547,28444,8400,3.082568807,9.044197138
Tiverton and Honiton,South West,270000,450,23379,6006,2.50257842,8.658888889
Tonbridge and Malling,South East,421000,513,26671,8200,2.157894737,6.335154394
Tooting,London,653000,532,27659,16600,2.912280702,4.23568147
Torbay,South West,218000,400,20784,7600,4.222222222,9.533944954
Torridge and West Devon,South West,260250,374,19443,8050,3.659090909,7.470893372
Totnes,South West,315000,422,21923,11001,4.231002221,6.95968254
Tottenham,London,490000,459,23873,8000,1.777777778,4.872040816
Truro and Falmouth,South West,300000,477,24778,8000,3.076923077,8.259333333
Tunbridge Wells,South East,395000,547,28418,6000,1.643835616,7.19443038
Twickenham,London,659975,565,29359,16995,2.955652174,4.448501837
Tynemouth,North East,210000,485,25194,2234,1.123572901,11.99714286
Uxbridge and South Ruislip,London,470000,548,28491,10000,2.380952381,6.061914894
Vauxhall,London,558500,657,34148,-6299,-1.067636166,6.114234557
Wakefield,Yorkshire and The Humber,184000,474,24664,6800,4.533333333,13.40434783
Wallasey,North West,169525,479,24903,6905,5.114814815,14.68986875
Walsall North,West Midlands,165000,507,26369,7000,5.384615385,15.98121212
Walsall South,West Midlands,175000,513,26681,5801,3.973423747,15.24628571
Walthamstow,London,493998,417,21668,8800,1.955444444,4.386252576
Wansbeck,North East,134950,498,25870,-210,-0.154411765,19.17006299
Wantage,South East,355000,734,38147,4000,1.194029851,10.7456338
Warley,West Midlands,186000,501,26031,7210,4.808269423,13.99516129
Warrington North,North West,190250,571,29697,6250,3.93081761,15.60946124
Warrington South,North West,240000,510,26536,8210,4.126664991,11.05666667
Warwick and Leamington,West Midlands,291788,450,23405,1858,0.657522124,8.021234595
Washington and Sunderland West,North East,123741,513,26666,2148,1.901061947,21.54985009
Watford,East of England,410000,556,28922,5200,1.354166667,7.054146341
Waveney,East of England,225000,494,25698,9000,5,11.42133333
Wealden,South East,376000,501,26052,9200,2.787878788,6.928723404
Weaver Vale,North West,215000,583,30295,4201,2.16551973,14.09069767
Wellingborough,East Midlands,230000,551,28626,7450,3.865110246,12.44608696
Wells,South West,265000,446,23202,6000,2.553191489,8.755471698
Welwyn Hatfield,East of England,400000,439,22844,6000,1.621621622,5.711
Wentworth and Dearne,Yorkshire and The Humber,144498,486,25256,3900,3.1196,17.47844261
West Bromwich East,West Midlands,192000,552,28725,8400,5.6,14.9609375
West Bromwich West,West Midlands,174000,495,25745,8000,5.970149254,14.79597701
West Dorset,South West,320000,449,23338,7000,2.456140351,7.293125
West Ham,London,431750,688,35755,4350,1.06097561,8.281412855
West Lancashire,North West,185000,499,25932,1800,1.022727273,14.0172973
West Suffolk,East of England,260000,607,31569,6000,2.608695652,12.14192308
West Worcestershire,West Midlands,295000,480,24981,6000,2.264150943,8.468135593
Westminster North,London,845995,633,32900,15199,1.973896104,3.888911873
Westmorland and Lonsdale,North West,255000,456,23717,3010,1.254428006,9.300784314
Weston-Super-Mare,South West,245000,449,23358,7401,3.558258612,9.533877551
Wigan,North West,157500,478,24851,4500,3.333333333,15.7784127
Wimbledon,London,760000,575,29900,26000,4.126984127,3.934210526
Winchester,South East,461500,577,29988,6300,1.465116279,6.497941495
Windsor,South East,495100,670,34861,7020,1.526086957,7.041203797
Wirral South,North West,220000,474,24632,7010,3.790213571,11.19636364
Wirral West,North West,250000,380,19770,9400,4.630541872,7.908
Witham,East of England,333250,504,26198,6250,2.069536424,7.861365341
Witney,South East,340000,546,28392,1000,0.298507463,8.350588235
Woking,South East,420000,653,33930,4000,1,8.078571429
Wokingham,South East,437600,540,28101,5520,1.346341463,6.421617916
Wolverhampton North East,West Midlands,175000,491,25522,7000,5,14.584
Wolverhampton South East,West Midlands,170000,559,29058,8600,6.771653543,17.09294118
Wolverhampton South West,West Midlands,213000,526,27326,6900,3.865546218,12.82910798
Worcester,West Midlands,220000,498,25891,5000,2.564102564,11.76863636
Workington,North West,140000,487,25319,-2000,-1.333333333,18.085
Worsley and Eccles South,North West,200000,509,26452,7000,4.242424242,13.226
Worthing West,South East,327581,492,25568,6266,2.115139241,7.805092481
Wycombe,South East,375000,638,33171,7450,2.205773501,8.8456
Wyre and Preston North,North West,213275,448,23270,3655,1.874471151,10.91079592
Wyre Forest,West Midlands,220000,488,25371,8200,4.581005587,11.53227273
Wythenshawe and Sale East,North West,227250,510,26504,10455,5.975139306,11.66292629
Yeovil,South West,230000,502,26125,5400,2.660098522,11.35869565
York Central,Yorkshire and The Humber,250000,456,23728,7900,3.752969121,9.4912
York Outer,Yorkshire and The Humber,300000,505,26276,9000,3.529411765,8.758666667
