ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability
Cambridge,East of England,450750,499,25964,5150,1.211764706,5.760177482
Cannock Chase,West Midlands,190526,531,27607,5305,3.234817073,14.48988589
Canterbury,South East,332050,490,25454,4410,1.422580645,7.665712995
Carlisle,North West,132000,473,24601,0,0,18.63712121
Carshalton and Wallington,London,415000,488,25366,11000,3.055555556,6.112289157
Castle Point,East of England,337000,620,32214,8400,2.847457627,9.559050445
Central Devon,South West,285000,471,24476,7000,2.8,8.588070175
Central Suffolk and North Ipswich,East of England,292500,421,21876,5500,2.075471698,7.478974359
Charnwood,East Midlands,260000,496,25776,7000,3.111111111,9.913846154
Chatham and Aylesford,South East,268500,521,27087,4250,1.718907988,10.08826816
Cheadle,North West,325000,481,24991,9000,3.214285714,7.689538462
Chelmsford,East of England,350000,500,26000,7000,2.222222222,7.428571429
Chelsea and Fulham,London,1150000,575,29895,28000,2.772277228,2.599565217
Cheltenham,South West,280000,566,29442,4400,1.705426357,10.515
Chesham and Amersham,South East,637500,526,27368,18500,3.394495413,4.293019608
Chesterfield,East Midlands,179000,464,24133,5800,3.866666667,13.48212291
Chichester,South East,385000,490,25496,4000,1.095890411,6.622337662
Chingford and Woodford Green,London,490500,613,31897,8100,1.8,6.502956167
Chippenham,South West,280000,497,25828,3200,1.212121212,9.224285714
Chipping Barnet,London,624000,419,21793,16800,3.111111111,3.492467949
Chorley,North West,175500,468,24315,2300,1.402439024,13.85470085
Christchurch,South West,405000,487,25314,9101,2.531606837,6.25037037
Cities of London and Westminster,London,1175000,524,27227,-5000,-0.416666667,2.317191489
City of Chester,North West,237250,491,25506,4000,1.841196778,10.75068493
City of Durham,North East,148000,476,24768,-100,-0.067340067,16.73513514
Clacton,East of England,250000,540,28085,6400,2.935779817,11.234
Cleethorpes,Yorkshire and The Humber,165000,459,23842,3305,2.225963967,14.44969697
Colchester,East of England,267750,406,21086,4950,2.037037037,7.875256769
Colne Valley,Yorkshire and The Humber,186000,539,28038,4200,2.545454545,15.07419355
Congleton,North West,230000,527,27399,2000,0.909090909,11.9126087
Copeland,North West,135000,730,37965,-1000,-0.714285714,28.12222222
Corby,East Midlands,235000,477,24778,6000,2.926829268,10.54382979
Coventry North East,West Midlands,190000,460,23899,5600,3.456790123,12.57842105
Coventry North West,West Midlands,215000,499,25932,8000,4.571428571,12.06139535
Coventry South,West Midlands,227000,489,25402,7400,3.894736842,11.19030837
Crawley,South East,316000,610,31704,4800,1.643835616,10.03291139
Crewe and Nantwich,North West,185623,536,27882,3525,2.097916667,15.0207679
Croydon Central,London,377500,909,47289,2546,0.697974066,12.52688742
Croydon North,London,365000,728,37872,5000,1.470588235,10.37589041
Croydon South,London,462250,516,26837,5900,1.363373772,5.805732829
Dagenham and Rainham,London,380000,572,29754,12400,3.899371069,7.83
Darlington,North East,130250,504,26208,250,0.19379845,20.12130518
Dartford,South East,340600,579,30113,5120,1.625396825,8.841162654
Daventry,East Midlands,295000,433,22537,3000,1.071428571,7.639661017
Denton and Reddish,North West,190000,439,22823,8900,6.116838488,12.01210526
Derby North,East Midlands,184000,525,27316,6000,3.896103896,14.84565217
Derby South,East Midlands,160000,550,28584,6001,4.616331397,17.865
Derbyshire Dales,East Midlands,290000,528,27456,6000,2.307692308,9.467586207
Devizes,South West,330000,473,24570,10010,3.575638507,7.445454545
Dewsbury,Yorkshire and The Humber,189000,481,24996,6600,4.230769231,13.22539683
Don Valley,Yorkshire and The Humber,162500,453,23577,5150,3.765996344,14.50892308
Doncaster Central,Yorkshire and The Humber,148000,494,25698,3800,2.945736434,17.36351351
Doncaster North,Yorkshire and The Humber,140000,469,24404,4201,3.530400437,17.43142857
Dover,South East,274000,512,26640,8050,3.443850267,9.722627737
Dudley North,West Midlands,185000,552,28709,8000,5.517241379,15.51837838
Dudley South,West Midlands,195000,514,26728,8500,5.573770492,13.70666667
Dulwich and West Norwood,London,607500,526,27347,15700,2.967863894,4.501563786
Ealing Central and Acton,London,645000,634,32973,9255,1.545784793,5.112093023
Ealing North,London,475000,540,28101,11800,2.836538462,5.916
"Ealing, Southall",London,501913,608,31637,12383,2.814227273,6.303283637
Easington,North East,91000,471,24513,2200,2.75,26.93736264
East Devon,South West,316000,561,29151,6010,2.101766043,9.225
East Ham,London,420000,587,30508,4700,1.185372005,7.263809524
East Hampshire,South East,400000,516,26842,6001,1.62191381,6.7105
East Surrey,South East,455000,519,26993,13000,3.333333333,5.932527473
East Worthing and Shoreham,South East,365000,466,24227,11225,3.634156212,6.637534247
East Yorkshire,Yorkshire and The Humber,194720,474,24648,4944,2.908235294,12.65817584
Eastbourne,South East,277000,463,24076,7225,2.999481059,8.691696751
Eastleigh,South East,300000,530,27544,2010,0.693222969,9.181333333
Eddisbury,North West,265000,497,25823,6001,2.553671355,9.744528302
Edmonton,London,405000,529,27513,8250,2.268041237,6.793333333
Ellesmere Port and Neston,North West,195000,554,28824,5800,3.493975904,14.78153846
Elmet and Rothwell,Yorkshire and The Humber,246500,459,23873,5000,2.257336343,9.684787018
Eltham,London,450000,574,29848,8000,1.951219512,6.632888889
Enfield North,London,430000,618,32141,9000,2.337662338,7.474651163
"Enfield, Southgate",London,606000,595,30961,16200,3.085714286,5.109075908
Epping Forest,East of England,500000,550,28590,10010,2.224691632,5.718
Epsom and Ewell,South East,560000,486,25277,12000,2.4,4.51375
Erewash,East Midlands,183000,638,33181,7610,5.250086237,18.13169399
Erith and Thamesmead,London,355000,460,23925,8500,2.72,6.73943662
Esher and Walton,South East,675000,536,27862,19000,3.275862069,4.127703704
Exeter,South West,265000,470,24430,5010,2.087934986,9.218867925
Fareham,South East,315000,505,26234,6000,2.105263158,8.328253968
Faversham and Mid Kent,South East,349995,505,26255,6200,1.943604132,7.501535736
Feltham and Heston,London,415000,532,27648,17600,5.382262997,6.662168675
Filton and Bradley Stoke,South West,320000,671,34876,10000,3.703703704,10.89875
Finchley and Golders Green,London,750000,556,28928,29000,4.79338843,3.857066667
Folkestone and Hythe,South East,300500,471,24487,10100,4.04,8.14875208
Forest of Dean,South West,265000,408,21195,10000,4.651162791,7.998113208
Fylde,North West,207750,539,28028,2550,1.307692308,13.4912154
Gainsborough,East Midlands,205000,461,23967,6800,3.976608187,11.69121951
Garston and Halewood,North West,189975,515,26754,2196,1.226849912,14.08290565
Gateshead,North East,130000,502,26109,0,0,20.08384615
Gedling,East Midlands,208000,557,28964,8302,4.986485675,13.925
Gillingham and Rainham,South East,279000,437,22708,7600,3.153526971,8.1390681
Gloucester,South West,222000,488,25355,7200,3.870967742,11.42117117
Gosport,South East,244250,477,24809,5350,2.459770115,10.15721597
Grantham and Stamford,East Midlands,225000,518,26910,5000,2.5,11.96
Gravesham,South East,336500,491,25506,9300,3.206896552,7.579791976
Great Grimsby,Yorkshire and The Humber,128000,483,25100,3600,3.272727273,19.609375
Great Yarmouth,East of England,205000,559,29042,6800,3.976608187,14.16682927
Greenwich and Woolwich,London,470000,529,27518,4000,0.888888889,5.854893617
Guildford,South East,492000,668,34752,5400,1.161290323,7.063414634
Hackney North and Stoke Newington,London,600000,556,28912,12360,2.296544036,4.818666667
Hackney South and Shoreditch,London,590000,761,39582,6000,1.071428571,6.708813559
Halesowen and Rowley Regis,West Midlands,206000,478,24877,7200,4.235294118,12.07621359
Halifax,Yorkshire and The Humber,138750,468,24310,3750,3.125,17.52072072
Haltemprice and Howden,Yorkshire and The Humber,224500,529,27503,6100,3.144329897,12.25077951
Halton,North West,150000,520,27035,3500,2.641509434,18.02333333
Hammersmith,London,675000,753,39140,-10000,-1.379310345,5.798518519
Hampstead and Kilburn,London,875000,823,42791,25150,3.356690023,4.8904
Harborough,East Midlands,265500,450,23400,7300,3.187772926,8.813559322
Harlow,East of England,315000,480,24960,5600,1.951219512,7.923809524
Harrogate and Knaresborough,Yorkshire and The Humber,275000,522,27149,1600,0.599250936,9.872363636
Harrow East,London,565000,506,26307,11000,2.156862745,4.656106195
Harrow West,London,500000,498,25912,9000,1.978021978,5.1824
Hartlepool,North East,126000,500,26005,400,0.322580645,20.63888889
Harwich and North Essex,East of England,290000,540,28090,4000,1.481481481,9.686206897
Hastings and Rye,South East,290000,441,22948,12000,5.217391304,7.913103448
Havant,South East,290000,495,25761,6300,2.437137331,8.883103448
Hayes and Harlington,London,410000,601,31257,8300,2.252374491,7.623658537
Hazel Grove,North West,260000,381,19822,8650,3.99077278,7.623846154
Hemel Hempstead,East of England,377000,482,25064,4550,1.28440367,6.648275862
Hemsworth,Yorkshire and The Humber,159500,493,25615,4300,3.115942029,16.05956113
Hendon,London,525000,514,26738,10000,2.105263158,5.092952381
Henley,South East,486000,619,32172,4200,0.903225806,6.619753086
Hereford and South Herefordshire,West Midlands,237500,460,23941,7700,3.869346734,10.08042105
Hertford and Stortford,East of England,399995,390,20275,4999,1.333066667,5.06881336
Hertsmere,East of England,535000,478,24851,16000,3.516483516,4.645046729
Hexham,North East,235000,415,21559,1200,0.524017467,9.174042553
Heywood and Middleton,North West,175000,465,24170,8500,6.41509434,13.81142857
High Peak,East Midlands,219745,463,24086,6949,3.756216216,10.96088648
Hitchin and Harpenden,East of England,510000,632,32848,13300,2.998872604,6.440784314
Holborn and St Pancras,London,700000,765,39785,-8000,-1.081081081,5.683571429
Hornchurch and Upminster,London,440000,486,25256,12000,3.157894737,5.74
Hornsey and Wood Green,London,632000,569,29583,8400,1.423728814,4.68085443
Horsham,South East,400000,575,29921,6000,1.621621622,7.48025
Houghton and Sunderland South,North East,137000,474,24638,-600,-0.428571429,17.98394161
Hove,South East,378174,470,24419,6640,1.924719183,6.457080603
Huddersfield,Yorkshire and The Humber,149975,390,20290,3995,3.073076923,13.52892149
Huntingdon,East of England,285000,527,27383,1000,0.357142857,9.608070175
Hyndburn,North West,123000,463,24081,3610,3.439733206,19.57804878
Ilford North,London,490000,467,24274,12490,2.921295755,4.953877551
Ilford South,London,445500,446,23176,10300,2.614213198,5.202244669
Ipswich,East of England,220000,579,30087,7000,3.783783784,13.67590909
Isle of Wight,South East,247000,424,22048,9400,4.7,8.926315789
Islington North,London,620000,640,33296,16000,2.962962963,5.370322581
Islington South and Finsbury,London,710000,768,39915,9600,1.450151057,5.621830986
Jarrow,North East,135500,432,22469,-500,-0.362318841,16.58228782
